Current Year,CGPA,1st yr 1st sem GPA,IP,ICS,MC,CS,1st yr 2nd sem GPA,OOC,SPM,PS1,EAP,ISDM,IWT,2nd yr 1st sem GPA,SE,OOP,DBMS,OSSA,2nd yr 2nd sem GPA,MAD,CN,DSA,ITP,PS2,ESD1,3rd yr 1st sem GPA,NDM,DS,PAF,ITPM,ESD2,3rd yr 2nd sem GPA,HCI,IAS,DA,BMIT
4,1.600,2.27,E,C,C,B,2.08,B-,B-,C,C+,C,PC,0.75,C,E,E,E,1.16,E,E,E,A-,B,A-,2.33,C-,IC,C+,B,A-,2.3,IC,IC,C+,IC
4,2.570,2.41,C,C,B+,C+,2.53,B-,C+,C+,C,B,B-,2.33,B,C,C,C+,2.78,B-,C,C+,A,B,A,2.5,C+,C,C,A-,A+,2.91,B,B-,B,B
4,2.760,2.35,B-,C+,C+,C,3.21,B-,A-,B-,B+,B+,B+,3.1,A-,A-,B,C,2.52,B-,C+,B-,C,B+,C,2.15,C,C,C+,C+,A,3.19,B+,C,A-,A
4,2.280,2.53,B+,B-,C,C,1.84,B,C,D,C+,C,B-,2.25,B-,C,C,C+,2,C,C,C,A-,C,B-,2.05,D+,C+,D+,B+,A,2.61,B+,B-,R,B
4,2.580,2.85,A-,B-,B,C-,1.49,B-,C+,E,E,C,C+,2.42,B-,C+,C,B-,2.98,A-,C,B,A-,C,A,2.52,R,B-,B-,B,A,3.45,A-,B+,B,A
4,2.320,2.39,C,B-,C,B,2.14,B,C+,PC,C,C,B-,2.42,B,C,C,B-,2.26,B-,C,C,B+,C+,A,2,R,D+,R,B+,A,2.56,B+,C-,C,A-
4,1.990,1.73,C,C,C,B+,2.05,C,C,PC,B+,C,C,1.65,C,C,C,C,1.24,C,C-,E,B+,C,B+,1.6,C,C-,D,R,A,2.71,B+,C+,C-,A
4,2.470,2.08,C,C,C,C+,2.47,B,C,C,B,C,B,2.08,C,C,C,B,2.69,B,C,C+,B+,B,A,2.67,C+,B-,C,A-,B,2.63,A-,B-,R,B-
4,2.860,2.95,B+,B+,C,B+,2.79,B-,B+,C,B,B-,B,2.83,B+,A-,C,C,2.74,B+,C,B-,B,B-,A,2.5,C,R,B,B+,C,3.41,B,A-,B,A
4,1.870,2.01,C,C,PC,B,2.22,B-,C+,PC,B+,C,C,2,C,C,C,C,1.43,C,D,E,B+,C+,A,1.8,D+,D+,C+,C+,B+,1.71,R,C-,D+,C+
4,1.690,1.75,C,C,D,C,1.55,C,C,D,C,C,C,1.33,C,D+,C-,E,1.79,B-,E,C,C,B-,C,1.67,D+,D,R,B-,B,1.98,B-,C-,C-,C
4,2.000,1.55,C,C,C,C,1.95,C,C,C,C,C,C+,2.23,B-,D,C,C,2.31,C,C,C+,B+,B,A-,1,D+,IC,F,R,B-,1.97,IC,R,C,C+
4,2.570,2.86,B-,B+,B,C+,2.66,B-,B,C,B,C+,B,2.25,B,C,C,C,2.52,B-,C,C+,B,B-,A,2.58,C,C+,C+,A-,B-,2.56,B,B,C,C+
4,2.390,1.75,C,C+,C,D+,2.54,B-,B-,C,C,B,B-,2.42,B,B-,C,C,2.84,B+,B-,C,B+,B,B,1.75,C,E,C,B,C,2.78,B,B-,C,A-
4,2.350,2.51,C+,C+,B+,C,2.14,C+,B-,C,C,C,C,1.87,C+,C,C,C,2.68,C+,C,B-,A-,B-,A+,2.13,B-,IC,F,A-,A+,2.51,B-,R,C+,A-
4,2.060,1.75,C+,C,C,C,1.73,C+,C,C,C,C,C,2.2,B+,C,C,C,2,C,D+,D+,B,C,B,1.57,IC,C-,F,B,B,2.28,B-,R,C,B
4,2.260,2.61,B,C+,B,C,1.97,C,B-,C+,C,C+,C+,2.23,B-,C,C,C,2.51,C,C,B,B+,C,A,1.98,D+,C,D+,B+,C+,1.98,B-,C-,R,C
4,2.000,1.65,E,C,C,C,1.83,B-,C,C,C-,C,C,1.87,B,C,IC,C,1.99,C,D+,C,C+,B-,A,1.9,R,D+,D+,B+,B-,2.21,R,C+,F,B+
4,2.290,1.81,C,C+,C,C,2.29,C+,B-,PC,C+,C,B,1.92,B-,C,C,C,1.78,C,C,D,B,C,B,2.9,B-,IC,C,A,A+,2.53,B+,C+,F,A-
4,2.040,2.06,C,C,C,C+,2.01,C+,C,C,C,C,B-,1.83,C,C,C,C,1.52,C,C,D+,C,C+,C+,1.6,R,D+,C-,R,A,2.66,B,C,C+,A-
4,2.380,2.19,B-,C,C,C,2.32,B-,C+,C,C+,C,B-,2.25,C,C,C,B,2.51,B+,C,C+,B-,C,B+,2.55,C+,C+,C+,B+,A-,2.47,B+,R,C,B+
4,2.790,2.79,B-,B+,C,B+,2.82,A-,A,PC,B+,B,C+,2.33,B+,C,C,B-,2.46,D+,B-,C,B+,B+,A,3,B,C,B+,A-,A+,3.2,A-,A-,B,B-
4,2.690,3.07,B+,B-,A,C,2.67,A-,B-,B-,C,C,B+,2.33,B,B-,C+,C,2.66,B+,C,C,B+,B-,B,2.52,C,C-,B-,A-,A,2.78,B,R,B+,B+
4,2.030,1.9,D+,C,C,C,1.9,B-,C,C,C,C,C,1.92,B,D,C,C,1.83,C,C,D+,C+,B+,A,2.53,C+,IC,C+,B,C,1.93,B,R,D+,C
4,0.930,0.33,E,E,E,C+,1.09,C,C,E,D,C,D,0.43,E,D,E,C,0.7,E,IC,E,D+,C+,C,1.17,D,E,F,B-,B,0.93,C,D,F,D
4,2.580,3.03,B-,A-,B-,B,2.25,B,B,C+,C,PC,C,2.78,A-,C,B-,B-,2.99,B-,C,A-,A-,B-,B+,1.92,C+,B-,F,B-,C,2.58,B,R,C+,A-
4,2.220,2.15,C,C+,C-,B+,2.83,B,C+,PC,B+,A,B,1.58,C,C-,C,C,1.94,D+,D,C,C,B,B+,2.25,C+,R,C+,B-,C,2.64,B+,C+,C,B+
4,2.590,3.04,A-,B-,C,A,2.46,B+,B-,PC,B-,C,B,2.5,B,B-,C,C+,1.74,C+,C,C,B-,C+,B,2.58,B-,C+,C,B+,A-,2.86,B+,B,C+,B
4,2.480,2.35,C+,B-,C+,C,2.17,B-,C+,C,C+,C,C,2.6,A-,B-,C,C,2.51,B,C,C,B+,C,C+,2.6,C+,C-,B-,A-,C+,2.76,B,R,B-,A
4,2.460,1.47,C,C,C,C,1.95,B-,C+,C,C,C,B-,2.5,B+,B-,C,C,2.52,B-,C,C,A,B-,A+,2.75,B,C-,B,B+,A,2.58,B+,C+,C,B
4,2.420,1.61,C+,C,C,C+,1.94,C,C+,C,B+,C,C,2.33,C+,B,C,C,2.14,C,C,C,C+,B-,C+,2.4,B,C+,C,C+,A,3.45,A-,B+,B,A+
